,ID,ARTIST,TITLE,BARCODE,UNIT,FORMAT,LABEL,PRICE,PRECISION,DELIVERY,STOCK,DATE
3835,WCV88,"BARROSO, ABELARDO",CHA CHA CHA,846833001452,1,LP,ADA-WORLD CIRCUIT,1350,0,1,4,17.11.2014
3838,MK049,METABOMAN,NOTHING IN IT,880319897511,1,12',MUSIK KRAUSE,826,0,1,1,30.03.2018
3839,PRD74891,Jeff Healey,Heal My Soul (2LP Gatefold 180 Gr.+ MP3),819873012733,1,LP,Mascot,1250,0,1,3,25.03.2016
3841,SKRSD0004,Jazzanova,Heatwave (Jazzanova Remix - RSD),821730088768,1,12',SONAR KOLLEKTIV,1001,0,1,1,13.04.2019
3843,405053852074,NAZARETH,CINEMA -REMAST/COLOURED-,4050538520743,1,LP,ADA-SALVO,1350,0,1,3,11.10.2019
3848,BGP2 300,Various,Celestial Blues,29667530019,1,LP,BGP,1139,0,1,1,29.07.2016
3850,DOL860HG,BILLIE HOLIDAY,Lady Sings The Blues,889397218607,1,LP,DOL,831,0,1,1, 
3851,K7373LP,Tomat Petrella,Kepler,730003737312,1,LP,!K7,1612,0,1,2,28.09.2018
3853,5717680,BECK,COLORS                    red vinyl,602557176803,1,LP,CAPITOL RECORDS,1870,0,1,6,13.10.2017
3854,SITW007LPC,STICK IN THE WHEEL,FOLLOW THEM TRUE (INDIE ONLY),5056032312609,1,LP,FROM HERE RECORDS,1351,0,1,1,26.01.2018
3856,DOL769H,MILES DAVIS,At The Carnegie Hall Part Two,889397557690,1,LP,DOL,689,0,1,1, 
3857,6795332,"SYLVIAN,DAVID",BRILLIANT TREES,602567953326,1,LP,VIRGIN,1548,0,1,1,22.02.2019
3858,MOND120,JOHN PAESANO,MARVELS THE DEFENDERS,50087386405,1,LP,MONDO,2889,0,1,1,24.05.2018
3860,OWS27,"SCHULZE,KLAUS",LA VIE ELECTRONIQUE VOLUME 1.2,92624999853,2,LP,ONE WAY STATIC,2428,0,1,2,20.07.2018
3861,1144801,Green Day,Live/Radio Broadcasts,5503082060054,1,LP,Laser Media - Wiesenstieg,1136,0,1,1,17.11.2017
3863,RSD 002,"SIMONE, NINA",My Baby Just Cares For ME - RS,90204524754,1,LP,zyx,1562,0,1,1,20.04.2018
3864,RGNET1232LP,Robert Johnson,The Rough Guide To Robert Johnson (Reborn and Rema,9781906063856,1,LP,ROUGH GUIDE,602,0,1,3, 
3865,8812056,JINJER,MICRO (EP),840588120567,1,LP,NAPALM RECORDS,1022,0,1,4,11.01.2019
3868,CREP68,"ALEXANDER,ROSS",HIGH ATLAS TO THE SAHARA DESER,5055869562423,1,LP,DISCREPANT RECORDS,1095,0,1,1,06.09.2019
3869,DOL858HG,ANTONIO CARLOS JOBIM,The Composer Of Desafinado,889397218584,1,LP,DOL,815,0,1,1, 
3871,SJRLP151,VA,Studio One Groups,5026328001517,1,LP,SoulJazz,1301,0,1,1,01.05.2017
3876,0212941EMX,Portnoy/Sheehan/MacAlpine/Sherinian,Portnoy/Sheehan/MacAlpine/Sherinian-Live,4029759129417,1,LP+CD,EMX,1849,0,1,1,31.08.2018
3877,SLANG50010LP,Nada Surf,The Stars Are Indifferent To Astronomy,4250506803292,1,LP,CITY SLANG,892,0,1,5,18.01.2019
3881,8811012,LORD OF THE LOST,SWAN SONGS II,840588110124,1,LP,NAPALM RECORDS,1388,0,1,5,06.10.2017
3884,GBLP 016,Noura Mint Seymali,Tzenni,4030433601617,1,LP,Glitterbeat Records,1062,0,1,2,20.06.2014
3886,5741453,ERIC B. & RAKIM,PAID IN FULL,602557414530,2,LP,GEFFEN,2194,0,1,2,13.07.2018
3890,XLLP781,RADIOHEAD,OK COMPUTER -HQ-,634904078119,2,LP,BBQ-XL RECORDINGS,1619,0,1,1,16.06.2016
3891,XL883LPE,EVERYTHING IS RECORDED,EVERYTHING IS.. -INDIE-,191404088319,1,LP,BBQ-XL RECORDINGS,1529,0,1,1,16.02.2018
3892,ARILP171,AISHA,THERES MORE TO LIFE,5020145551712,1,LP,ARIWA SOUNDS,835,0,1,1,01.01.2005
3895,17253,BATUSHKA,Hospodi (180g Black Vinyl),39841565911,1,LP,Metal Blade,1662,0,1,2,12.07.2019
3899,RGNET1325LP,VA,The Rough Guide To Sahara Blues,605633632521,1,LP,ROUGH GUIDE,602,0,1,1, 
3904,WIGLP433X,Nérija,Blume (Crystal Clear Vinyl),887828043330,2,LP,Domino,1268,0,1,6,02.08.2019
3906,DGLIB13LP,VARIOUS ARTISTS,GLITTERBOX - PUMP THE BOOGIE!,826194430672,1,LP,GLITTERBOX RECORDING,1444,0,1,1,06.12.2018
3907,XMR142LP,BRAND NEW FRIEND,SEATBELTS FOR AEROPLANES,5056032313903,1,LP,XTRA MILE RECORDINGS,1239,0,1,1,27.04.2018
3912,M75261,Shaman's Harvest,Red Hands Black Deeds (180 Gr.Red LP Gatefold+MP3),819873015079,1,LP,Mascot,1375,0,1,2,28.07.2017
3913,cadenza118,Luciano,Sequentia Vol. 1 (2x12' Gatefold),4260544825491,1,LP,cadenza,1311,0,1,1,10.08.2018
3914,3358416,NINA SIMONE,MY BABY JUST CARES FOR ME,3596973584168,1,LP,WAGRAM,928,0,1,1,25.10.2018
3915,CAD3639,DEAD CAN DANCE,AION,652637363913,1,LP,BBQ-4AD,1305,0,1,1,16.03.2017
3916,MOND114,VARIOUS,ATOMIC BLONDE,616892518440,1,LP,MONDO,2992,0,1,1,24.08.2017
3917,FORDIS03,Baiano & Os Novos Caetanos,Baiano & Os Novos Caetanos,5060211503634,1,LP,Far Out,1261,0,1,2, 
3918,DAP-053LPB,"SHA LA DAS,THE",LOVE IN THE WIND,823134905313,1,LP,DAPTONE RECORDINGS,1405,0,1,1,21.09.2018
3924,HDBLP037,LEE GAMBLE,MNESTIC PRESSURE,5055300386892,1,LP,HYPERDUB,914,0,1,3, 
3926,WIGLP255,FRANZ FERDINAND,"RIGHT THOUGHTS, RIGHT WORDS, RIGHT ACTION",887828025510,1,LP,Domino Records,1109,0,1,2,26.08.2013
3927,imr14lp,trentemoller,lost,4250382419587,1,LP,in my room,1030,0,1,1,23.09.2013
3930,3358576,BEN E. KING,STAND BY ME,3596973585769,1,LP,WAGRAM,928,0,1,1,25.10.2018
3935,17199,VULTURE,Ghastly Waves & Battered Graves (180g Black Vinyl),39841565010,1,LP,Metal Blade,1306,0,1,1,07.06.2019
3937,ZYX 82904-1,VARIOUS ARTISTS,ZYX Italo Disco Collection 3,90204697915,1,LP,zyx,1450,0,1,2,16.06.2017
3939,GPM432,PHUTURE,WE ARE PHUTURE (RICARDO VILLAL,844216055405,1,12',GET PHYSICAL MUSIC,1698,0,1,1,23.03.2018
3941,MRBLP116,"AHVENLAHTI,OLLI","POET,THE",711969126211,1,LP,MR BONGO,1351,0,1,1,13.10.2014
3942,RGNET1355LP,Buddy Holly,The Rough Guide To Buddy Holly,605633135541,1,LP,ROUGH GUIDE,602,0,1,2, 
3949,FARO201LP,Victor Assis Brasil,Esperanto,5060211503436,1,LP,Far Out,1261,0,1,2, 
3951,PBLP002,VARIOUS,PARADISE BANGKOK - THE ALBUM V,5056032307117,1,LP,Paradise Bangkok Band,1140,0,1,2,03.02.2017
3953,PM001LP,John Barry,Walkabout Soundtrack,643597936569,1,LP,The Roundtable,2174,0,1,1, 
3955,IVLP09,AME,DREAM HOUSE,810458017419,1,LP,INNERVISIONS,1786,0,1,10,29.06.2018
3958,ZZZV19003,VARIOUS ARTISTS,PROPER SUNBURN - SUNSCREEN APPLIED BY BASSO,616576255487,1,LP,MUSIC FOR DREAMS,1961,0,1,1,30.08.2019
3960,CHARLYL220,94 EAST featuring PRINCE,JUST ANOTHER SUCKER / ONE MAN JAM,803415822010,1,12',Snapper,1052,0,1,2,30.09.2016
3961,8BIT8049,VARIOUS ARTISTS,COSMIC TUNES,852428007044,1,LP,iam8bit,2925,0,1,2, 
3963,0760,Miriam Makeba,Amazing Africa,4260053477600,1,LP,Power Station,1031,0,1,1, 
3967,TB6447,PULP,Party Clowns,889397106447,1,LP,TIGER BAY,1129,0,1,1, 
3968,BBE358CLP,various artists,DJ Spinna presents the Wonder of Stevie - Volume 3,730003135811,2,LP,BBE Music,1479,0,1,1,24.06.2016
3970,8BIT8075,DOUGLAS HOLMQUIST,SMASHHIT/PINOUT,852428007877,1,LP,iam8bit,3044,0,1,1,14.02.2018
3971,FJ015,V/A House,Footure Classics Vol2,4251648411413,1,LP,Footjob,755,0,1,1,26.04.2019
3975,TB6317,INSPIRAL CARPETS,Dung 4,889397106317,1,LP,TIGER BAY,1129,0,1,1, 
3977,PFRLP18x,trentemoller,"the last resort (3LP,GF,ALL13 Songs 1st TimeVinyl)",4250382435914,1,LP,poker flat,1499,0,1,1,08.06.2018
