"ID";"ARTIST";"TITLE";"BARCODE";"UNIT";"FORMAT";"LABEL";"PRICE";"PRECISION";"DELIVERY";"STOCK";"DATE"
"PRAH005";"ORAZBAYEVA,AISHA/& TIM ETCHELL";"SLEEPING THROUGH";"5060091559158";"1";"LP";"PRAH";"1504";"0";"1";"1";"06.11.2015"
"HDBLP022";"FHLOSTON PARADIGM";"THE PHOENIX";"5055300373656";"1";"LP";"HYPERDUB";"949";"0";"1";"1";""
"FARO131CD";"Sabrina Malheiros";"New Morning";"5060088048177";"1";"CD";"Far Out";"701";"0";"1";"1";""
"MUS 81286-2";"VARIOUS";"Celtic & Bretonic Sounds";"090204656967";"1";"CD";"zyx";"635";"0";"1";"2";"02.08.2019"
"DEMREC413";"TOYAH";"IN THE COURT OF THE CRIMSON QUEEN - TOYAH";"5014797899346";"1";"LP";"Demon";"2076";"0";"1";"2";"13.04.2019"
"PRAH001CD";"COATES,OLIVER";"TOWARDS THE BLESSED ISLANDS";"5060091553378";"1";"CD";"PRAH RECORDINGS";"634";"0";"1";"1";"09.12.2013"
"270511";"Mekong Delta";"Mekong Delta";"4260072378551";"1";"LP";"Zardoz Media";"1486";"0";"1";"2";"30.06.2016"
"16838";"ALLEGAEON";"Apoptosis (Silver w/Oxblood & Black Splatters  ltd";"039841561272";"1";"LP";"Metal Blade";"1841";"0";"1";"1";"19.04.2019"
"ZENCD163";"WAGON CHRIST";"TOOMORROW";"5021392619125";"1";"CD";"Ninja Tune";"454";"0";"1";"1";"14.03.2011"
"CBOY 5050";"TUXEDOMOON";"PINHEADS ON THE MOVE";"5410377350021";"1";"CD";"CRAMBOY";"625";"0";"1";"2";""
"XMR096CD";"RETROSPECTIVE SOUNDTRACK PLAYE";"ITS A WONDERFUL CHRISTMAS CAR";"5060091555020";"1";"CD";"XTRA MILE RECORDINGS";"634";"0";"1";"1";"08.12.2014"
"EPIT 27477-2";"This Wild Life";"Low Tides";"8714092747720";"1";"CD";"Epitaph";"656";"0";"1";"1";""
"MOSHILP89";"DU BLONDE";"LUNG BREAD FOR DADDY";"5060164956464";"1";"LP";"MOSHI";"1340";"0";"1";"2";"14.02.2019"
"AFR45013";"ASSIYO BELLEMA / HASABE";"MULATU ATSATKE FT FRANK HOLDER";"7119691240879";"1";"7'";"MR BONGO";"578";"0";"1";"2";"20.07.2011"
"M72155";"Volbeat";"Rock The Rebel/Metal The Devil (Picture)";"020286211716";"1";"LP";"Mascot";"1000";"0";"1";"6";"09.11.2012"
"66207-2";"JEY LIBA";"ODYSSÉE";"3567256620729";"1";"CD";"LUSAFRICA";"500";"0";"1";"1";""
"WIGCD451";"(Sandy) Alex G";"House of Sugar";"887828045129";"1";"CD";"Domino";"564";"0";"1";"2";"13.09.2019"
"BBQLP2145";"BUFFALO TOM";"LET ME COME OVER -LTD-";"607618214517";"1";"LP";"BBQ-BEGGARS BANQUET";"1529";"0";"1";"1";"18.05.2017"
"DAP015LP";"MENAHAN STREET BAND";"MAKE THE ROAD BY WALKING";"823134001510";"1";"LP";"DAPTONE RECORDINGS";"1386";"0";"1";"2";"01.10.2017"
"ALCOPOP125X";"SPILLS,THE";"COLLECTING DUST";"5060091558373";"1";"LP";"";"1001";"0";"1";"1";"25.09.2015"
"CDTRIX103";"VARIOUS ARTISTS";"AKTIVE MATRIX V. 2.0";"3830005281039";"1";"CD";"MATRIX MUSIC";"375";"0";"1";"28";"01.01.2000"
"KING085CD";"Hellsingland Underground";"A Hundred Years Is Nothing";"5553555000858";"1";"CD";"WILDKINGDO";"875";"0";"1";"1";""
"CRAM 176";"SKELETONS";"PEOPLE";"87662300625";"1";"CD";"CRAMMED DISCS";"625";"0";"1";"1";""
"film005";"marvin horsch";"fukushisha ep";"4260038317556";"1";"LP";"FILM";"561";"0";"1";"1";"10.03.2017"
"MUS 81278-2";"VARIOUS ARTISTS";"80s Chart Hits";"090204730209";"1";"CD";"zyx";"635";"0";"1";"1";"05.04.2019"
"BR2000372";"One Fell Swoop";"Crazy time";"4015307003728";"1";"CD";"Brambus Records";"625";"0";"1";"1";""
"CRAM286 LP";"SCOTT GILMORE";"TWO BEDROOM MOTEL";"876623007968";"1";"LP";"CRAMMED DISCS";"1375";"0";"1";"5";"01.03.2019"
"PH8917XL";"FALL OUT BOY";"SKULL AND CROSSBONES (BLUE)";"0803341457140";"1";"MERCH";"PHM";"1019";"0";"1";"1";""
"EDSB4021";"THE SOUND";"SHOCK OF DAYLIGHT - THE SOUND";"740155402136";"1";"CD";"Demon";"830";"0";"1";"1";"23.02.2015"
"ITH36CD";"TENSNAKE";"IN THE HOUSE";"0826194185626";"1";"CD";"DEFECTED";"338";"0";"1";"3";""
"COUNT046";"THE HEAVY";"THE GLORIOUS DEAD";"5021392750163";"2";"LP";"Ninja Tune";"1444";"0";"1";"2";"19.08.2008"
"MCR927";"THIS HEAT";"REPEAT/METAL";"0826853092715";"1";"LP";"MODERN CLASSICS";"1702";"0";"1";"2";"17.08.2018"
"214022";"Arise In Chaos";"Terminal Cognition";"0700220562448";"1";"CD";"Ellefson Music Prod. - USA";"1016";"0";"1";"3";"26.08.2016"
"XMR033CDX";"XCERTS,THE";"SCATTERBRAIN";"5050954258328";"1";"CD";"XTRA MILE";"434";"0";"1";"1";"01.06.2014"
"EPIT 26437-1";"PENNYWISE";"About Time";"8714092643718";"1";"LP";"Epitaph";"1000";"0";"1";"1";""
"WIGLP375";"Hot Chip";"A Bath Full of Ecstasy";"887828037513";"1";"LP";"Domino Records";"1269";"0";"1";"1";"21.06.2019"
"MOND128";"TAKATSUGU MURAMATSU";"MARY AND THE WITCH'S FLOWER";"0843563103968";"1";"LP";"MONDO";"2786";"0";"1";"2";"11.10.2018"
"XMR035CD";"TURNER,FRANK/AND JON SNODGRASS";"BUDDIES";"5050954407320";"1";"CD";"XTRA MILE RECORDINGS";"634";"0";"1";"1";"01.06.2014"
"VCD 111";"Country Joe And The Fish";"The Collected Country Joe & The Fish";"029667053822";"1";"CD";"Vanguard";"621";"0";"1";"1";"28.09.1998"
"MRBLP135";"VARIOUS";"ORIGINAL SOUND OF MALI,THE";"7119691244013";"1";"LP";"MR BONGO";"1351";"0";"1";"1";"24.03.2017"
"3349956";"THE SUPREMES WITH DIANA ROSS";"YOUR HEART BELONGS TO ME";"3596973499561";"1";"LP";"WAGRAM";"825";"0";"1";"2";"26.10.2017"
"ZYX 21145-2";"CAUGHT IN THE ACT";"Greatest Hits & Remixes";"090204523375";"1";"CD";"zyx";"788";"0";"1";"1";"02.02.2018"
"ALCOPOP158X";"FREEZE THE ATLANTIC";"PEOPLE ARE REVOLTING,THE";"5056032308657";"1";"LP";"ALCOPOP";"1001";"0";"1";"1";"14.04.2017"
"3546";"Santana";"Mithras";"4260494435467";"1";"LP";"Power Station";"1156";"0";"1";"2";""
"ROMA103LP";"Ennio Morricone";"Il Sorriso Del Grande Tentatore";"934334402479";"1";"LP";"The Roundtable";"1449";"0";"1";"1";""
"OPT4-014";"MONOCHROME SET";"ELIGIBLE BACHELORS";"700461413097";"1";"LP";"OPTIC NERVE RECORDIN";"1262";"0";"1";"2";"01.10.2017"
"XMR135LP";"TURNER,FRANK";"LOVE, IRE & SONG";"5056032313330";"1";"LP";"XTRA MILE RECORDINGS";"1689";"0";"1";"1";"01.06.2018"
"2253";"V.A.";"It´s Swing Time - The Album";"7619943022531";"1";"CD";"Power Station";"325";"0";"1";"2";""
"MRBCD174";"AKOUSSAH,AFOKA";"AFOKA AKOUSSAH";"7119691244129";"1";"CD";"MR BONGO";"634";"0";"1";"7";"25.01.2019"
"XLLP561";"WOMACK, BOBBY";"BRAVEST MAN IN THE..";"0634904056117";"1";"LP";"BBQ-XL RECORDINGS";"1305";"0";"1";"1";"07.06.2012"
"DW134";"LE MATOS";"SUMMER OF 84";"5053760043959";"1";"LP";"DEATH WALTZ RECORDIN";"2889";"0";"1";"1";"08.11.2018"
"GCRDVD 25";"SACRED REICH";"Live At Wacken Open Air";"090204636754";"1";"CD+DVD";"zyx/gcr";"569";"0";"1";"1";"19.10.2012"
"26280-2";"CESARIA EVORA";"BEST OF";"3567252628026";"1";"CD";"LUSAFRICA";"750";"0";"1";"2";""
"DOS763H";"BEACH BOYS";"Surfin' Safari + Candix Recordings";"889397577636";"1";"LP";"DOL";"689";"0";"1";"1";""
"CRAW 54";"SHANTEL";"PLANET PAPRIKA";"876623006015";"1";"CD";"CRAMWORLD";"625";"0";"1";"1";""
